iter	Passed	Remaining
0	4	4574
1	7	3618
2	9	3206
3	12	3021
4	16	3233
5	19	3193
6	22	3148
7	25	3162
8	28	3120
9	30	3054
10	33	3025
11	35	2956
12	39	2988
13	41	2927
14	43	2871
15	45	2828
16	48	2784
17	50	2754
18	52	2710
19	54	2671
20	56	2652
21	58	2622
22	61	2598
23	63	2579
24	65	2570
25	68	2554
26	70	2527
27	72	2506
28	72	2444
29	74	2421
30	76	2402
31	78	2383
32	81	2385
33	83	2375
34	85	2365
35	87	2351
36	89	2335
37	91	2324
38	93	2315
39	96	2315
40	98	2313
41	101	2303
42	103	2292
43	105	2285
44	107	2277
45	109	2268
46	111	2263
47	114	2261
48	115	2250
49	117	2240
50	119	2232
51	122	2228
52	124	2219
53	126	2209
54	128	2212
55	130	2206
56	133	2203
57	135	2196
58	137	2188
59	139	2178
60	141	2173
61	143	2172
62	145	2168
63	147	2163
64	149	2156
65	151	2149
66	153	2144
67	156	2139
68	158	2136
69	160	2137
70	162	2130
71	164	2125
72	166	2120
73	169	2118
74	171	2116
75	173	2111
76	176	2112
77	178	2110
78	180	2107
79	182	2101
80	184	2098
81	186	2093
82	188	2087
83	191	2088
84	193	2084
85	195	2078
86	197	2075
87	199	2069
88	201	2064
89	203	2059
90	205	2055
91	208	2055
92	210	2054
93	213	2057
94	216	2061
95	218	2057
96	220	2052
97	222	2051
98	225	2050
99	229	2061
100	231	2059
101	233	2055
102	235	2051
103	237	2049
104	240	2046
105	242	2041
106	244	2036
107	246	2031
108	248	2027
109	249	2022
110	251	2018
111	254	2018
112	256	2015
113	258	2011
114	260	2006
115	262	2001
116	264	1997
117	266	1993
118	269	1992
119	271	1990
120	273	1987
121	275	1983
122	277	1980
123	279	1975
124	281	1971
125	283	1968
126	286	1967
127	288	1963
128	290	1960
129	292	1956
130	294	1952
131	296	1948
132	298	1944
133	300	1942
134	302	1939
135	304	1935
136	306	1931
137	308	1927
138	310	1924
139	312	1920
140	314	1918
141	317	1918
142	319	1916
143	322	1914
144	323	1910
145	326	1907
146	328	1904
147	330	1901
148	332	1900
149	334	1898
150	336	1894
151	339	1891
152	341	1888
153	343	1885
154	345	1881
155	347	1879
156	349	1877
157	351	1874
158	353	1870
159	355	1866
160	357	1863
161	359	1860
162	361	1858
163	364	1856
164	366	1854
165	368	1851
166	370	1848
167	372	1844
168	374	1841
169	376	1837
170	378	1835
171	381	1835
172	383	1833
173	385	1830
174	387	1828
175	389	1824
176	391	1822
177	394	1820
178	397	1821
179	399	1819
180	401	1815
181	403	1812
182	405	1809
183	407	1806
184	409	1804
185	412	1805
186	414	1803
187	417	1801
188	419	1797
189	420	1794
190	422	1791
191	424	1788
192	427	1787
193	429	1785
194	432	1784
195	434	1781
196	436	1778
197	438	1776
198	440	1773
199	443	1773
200	445	1770
201	447	1767
202	449	1764
203	451	1761
204	453	1758
205	455	1755
206	458	1754
207	460	1752
208	462	1750
209	465	1750
210	467	1749
211	469	1746
212	471	1743
213	474	1741
214	476	1739
215	478	1736
216	480	1733
217	482	1730
218	484	1727
219	486	1724
220	488	1721
221	490	1720
222	493	1717
223	494	1714
224	496	1711
225	499	1709
226	501	1706
227	503	1704
228	505	1703
229	508	1701
230	510	1700
231	512	1698
232	515	1695
233	517	1693
234	519	1690
235	521	1689
236	524	1686
237	525	1684
238	528	1681
239	530	1678
240	532	1675
241	534	1672
242	536	1670
243	538	1669
244	540	1666
245	542	1664
246	544	1661
247	546	1658
248	548	1655
249	550	1652
250	553	1650
251	555	1648
252	557	1646
253	559	1643
254	561	1641
255	563	1638
256	565	1635
257	568	1633
258	570	1631
259	572	1629
260	574	1626
261	576	1624
262	578	1621
263	580	1618
264	582	1616
265	585	1614
266	587	1611
267	589	1609
268	591	1606
269	593	1603
270	595	1600
271	597	1598
272	600	1597
273	602	1596
274	604	1593
275	606	1590
276	608	1587
277	610	1584
278	612	1582
279	614	1579
280	617	1579
281	619	1577
282	622	1575
283	624	1573
284	626	1571
285	628	1568
286	630	1565
287	632	1564
288	635	1562
289	637	1560
290	639	1558
291	641	1555
292	643	1553
293	645	1551
294	649	1552
295	652	1551
296	655	1551
297	658	1551
298	661	1551
299	665	1552
300	668	1551
301	671	1551
302	674	1551
303	677	1550
304	680	1550
305	683	1550
306	687	1552
307	690	1552
308	693	1551
309	697	1551
310	700	1552
311	703	1551
312	706	1551
313	709	1550
314	713	1550
315	716	1551
316	719	1550
317	722	1549
318	725	1549
319	729	1549
320	732	1549
321	735	1548
322	738	1547
323	742	1549
324	746	1549
325	748	1548
326	751	1546
327	754	1545
328	759	1548
329	762	1547
330	764	1545
331	767	1544
332	770	1543
333	772	1541
334	775	1539
335	777	1537
336	780	1535
337	782	1533
338	785	1531
339	788	1530
340	790	1527
341	792	1525
342	794	1522
343	797	1520
344	799	1517
345	801	1514
346	804	1513
347	806	1511
348	808	1508
349	810	1505
350	812	1502
351	814	1499
352	816	1496
353	820	1496
354	826	1500
355	831	1504
356	835	1504
357	839	1505
358	841	1503
359	844	1500
360	846	1498
361	848	1495
362	851	1493
363	853	1490
364	855	1487
365	857	1484
366	858	1481
367	861	1478
368	863	1476
369	865	1473
370	868	1472
371	870	1469
372	872	1466
373	874	1464
374	877	1461
375	878	1458
376	881	1455
377	883	1453
378	885	1451
379	887	1448
380	889	1445
381	891	1442
382	893	1439
383	896	1437
384	898	1435
385	900	1433
386	903	1430
387	905	1427
388	907	1425
389	909	1422
390	911	1419
391	913	1417
392	915	1414
393	917	1411
394	920	1409
395	922	1406
396	924	1403
397	926	1400
398	928	1398
399	930	1395
400	932	1393
401	935	1391
402	937	1388
403	939	1385
404	941	1383
405	943	1380
406	945	1378
407	948	1376
408	951	1374
409	954	1373
410	956	1370
411	958	1368
412	961	1366
413	964	1364
414	966	1362
415	969	1360
416	971	1358
417	974	1357
418	978	1356
419	981	1354
420	983	1352
421	986	1351
422	989	1349
423	992	1348
424	995	1346
425	998	1344
426	1000	1343
427	1003	1341
428	1006	1339
429	1009	1338
430	1012	1336
431	1014	1334
432	1017	1332
433	1019	1330
434	1023	1329
435	1028	1329
436	1031	1328
437	1034	1327
438	1037	1326
439	1041	1325
440	1044	1323
441	1047	1322
442	1050	1321
443	1070	1340
444	1073	1338
445	1076	1337
446	1079	1335
447	1081	1333
448	1084	1331
449	1088	1330
450	1091	1328
451	1094	1326
452	1097	1324
453	1099	1322
454	1103	1321
455	1106	1319
456	1109	1318
457	1112	1317
458	1116	1315
459	1119	1314
460	1122	1312
461	1126	1311
462	1128	1309
463	1131	1307
464	1135	1306
465	1138	1304
466	1140	1301
467	1142	1299
468	1145	1296
469	1147	1293
470	1150	1292
471	1152	1289
472	1154	1286
473	1157	1283
474	1159	1281
475	1161	1278
476	1163	1275
477	1165	1273
478	1168	1270
479	1170	1267
480	1172	1264
481	1174	1262
482	1176	1259
483	1178	1256
484	1181	1254
485	1183	1251
486	1185	1248
487	1187	1245
488	1189	1242
489	1191	1240
490	1193	1237
491	1196	1235
492	1198	1232
493	1200	1230
494	1202	1227
495	1204	1224
496	1206	1221
497	1208	1218
498	1210	1215
499	1213	1213
500	1215	1210
501	1217	1207
502	1219	1204
503	1221	1202
504	1223	1199
505	1225	1196
506	1228	1194
507	1231	1193
508	1234	1190
509	1236	1188
510	1238	1185
511	1240	1182
512	1242	1179
513	1245	1177
514	1247	1175
515	1249	1172
516	1251	1169
517	1253	1166
518	1256	1164
519	1258	1161
520	1260	1158
521	1262	1156
522	1264	1153
523	1266	1150
524	1268	1147
525	1270	1144
526	1272	1141
527	1274	1139
528	1276	1136
529	1278	1134
530	1281	1131
531	1283	1128
532	1285	1126
533	1287	1123
534	1289	1120
535	1292	1118
536	1294	1115
537	1296	1113
538	1298	1110
539	1300	1107
540	1302	1104
541	1304	1102
542	1306	1099
543	1309	1097
544	1311	1094
545	1313	1091
546	1315	1089
547	1317	1086
548	1319	1083
549	1321	1081
550	1324	1079
551	1326	1076
552	1328	1074
553	1330	1071
554	1333	1068
555	1335	1066
556	1337	1063
557	1339	1061
558	1342	1058
559	1344	1056
560	1346	1053
561	1348	1050
562	1350	1048
563	1352	1045
564	1354	1043
565	1356	1040
566	1358	1037
567	1360	1035
568	1362	1032
569	1365	1029
570	1367	1027
571	1369	1024
572	1371	1022
573	1373	1019
574	1375	1016
575	1377	1014
576	1379	1011
577	1382	1009
578	1384	1006
579	1386	1004
580	1388	1001
581	1391	999
582	1393	996
583	1395	993
584	1397	991
585	1399	988
586	1401	986
587	1404	983
588	1406	981
589	1408	978
590	1410	976
591	1412	973
